LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,TERMTRADE,TOT,RT,A,1999,102.7935077,
AUT,TERMTRADE,TOT,RT,A,2000,101.7467435,
AUT,TERMTRADE,TOT,RT,A,2001,101.9618204,
AUT,TERMTRADE,TOT,RT,A,2002,102.6850219,
AUT,TERMTRADE,TOT,RT,A,2003,103.5095072,
AUT,TERMTRADE,TOT,RT,A,2004,102.9655627,
AUT,TERMTRADE,TOT,RT,A,2005,102.1417651,
AUT,TERMTRADE,TOT,RT,A,2006,101.0236839,
AUT,TERMTRADE,TOT,RT,A,2007,100.5884362,
AUT,TERMTRADE,TOT,RT,A,2008,99.34630404,
AUT,TERMTRADE,TOT,RT,A,2009,101.2256466,
AUT,TERMTRADE,TOT,RT,A,2010,99.56306738,
AUT,TERMTRADE,TOT,RT,A,2011,97.84121802,
AUT,TERMTRADE,TOT,RT,A,2012,97.34409624,
AUT,TERMTRADE,TOT,RT,A,2013,97.48918486,
AUT,TERMTRADE,TOT,RT,A,2014,98.44285246,
AUT,TERMTRADE,TOT,RT,A,2015,100,
AUT,TERMTRADE,TOT,RT,A,2016,100.8258639,
AUT,TERMTRADE,TOT,RT,A,2017,99.5582083,
AUT,TERMTRADE,TOT,RT,A,2018,98.91293829,
AUT,TERMTRADE,TOT,RT,A,2019,98.69279964,
BEL,TERMTRADE,TOT,RT,A,1999,104.6776652,
BEL,TERMTRADE,TOT,RT,A,2000,102.8661218,
BEL,TERMTRADE,TOT,RT,A,2001,102.9284333,
BEL,TERMTRADE,TOT,RT,A,2002,103.5837824,
BEL,TERMTRADE,TOT,RT,A,2003,103.2971467,
BEL,TERMTRADE,TOT,RT,A,2004,102.4542672,
BEL,TERMTRADE,TOT,RT,A,2005,101.7387856,
BEL,TERMTRADE,TOT,RT,A,2006,101.0185082,
BEL,TERMTRADE,TOT,RT,A,2007,101.1747449,
BEL,TERMTRADE,TOT,RT,A,2008,98.53140401,
BEL,TERMTRADE,TOT,RT,A,2009,101.5059775,
BEL,TERMTRADE,TOT,RT,A,2010,99.7413952,
BEL,TERMTRADE,TOT,RT,A,2011,98.30814003,
BEL,TERMTRADE,TOT,RT,A,2012,98.31981353,
BEL,TERMTRADE,TOT,RT,A,2013,98.68077373,
BEL,TERMTRADE,TOT,RT,A,2014,99.01199793,
BEL,TERMTRADE,TOT,RT,A,2015,100,
BEL,TERMTRADE,TOT,RT,A,2016,100.6170092,
BEL,TERMTRADE,TOT,RT,A,2017,99.97054427,
BEL,TERMTRADE,TOT,RT,A,2018,98.93976627,
BEL,TERMTRADE,TOT,RT,A,2019,99.27332048,
FIN,TERMTRADE,TOT,RT,A,1999,114.8859314,
FIN,TERMTRADE,TOT,RT,A,2000,110.6899071,
FIN,TERMTRADE,TOT,RT,A,2001,112.3023748,
FIN,TERMTRADE,TOT,RT,A,2002,112.1336573,
FIN,TERMTRADE,TOT,RT,A,2003,110.3740136,
FIN,TERMTRADE,TOT,RT,A,2004,107.9010874,
FIN,TERMTRADE,TOT,RT,A,2005,104.2253007,
FIN,TERMTRADE,TOT,RT,A,2006,100.9613364,
FIN,TERMTRADE,TOT,RT,A,2007,100.8929393,
FIN,TERMTRADE,TOT,RT,A,2008,98.9753041,
FIN,TERMTRADE,TOT,RT,A,2009,100.2179461,
FIN,TERMTRADE,TOT,RT,A,2010,98.15052906,
FIN,TERMTRADE,TOT,RT,A,2011,96.60774185,
FIN,TERMTRADE,TOT,RT,A,2012,95.58981914,
FIN,TERMTRADE,TOT,RT,A,2013,96.29438068,
FIN,TERMTRADE,TOT,RT,A,2014,96.98442739,
FIN,TERMTRADE,TOT,RT,A,2015,100,
FIN,TERMTRADE,TOT,RT,A,2016,99.73344827,
FIN,TERMTRADE,TOT,RT,A,2017,99.33643886,
FIN,TERMTRADE,TOT,RT,A,2018,100.1078288,
FIN,TERMTRADE,TOT,RT,A,2019,99.46105048,
FRA,TERMTRADE,TOT,RT,A,1999,99.99586067,
FRA,TERMTRADE,TOT,RT,A,2000,97.33087045,
FRA,TERMTRADE,TOT,RT,A,2001,97.6170066,
FRA,TERMTRADE,TOT,RT,A,2002,99.31895902,
FRA,TERMTRADE,TOT,RT,A,2003,99.28561353,
FRA,TERMTRADE,TOT,RT,A,2004,98.38054293,
FRA,TERMTRADE,TOT,RT,A,2005,97.0568383,
FRA,TERMTRADE,TOT,RT,A,2006,95.58937713,
FRA,TERMTRADE,TOT,RT,A,2007,96.68820043,
FRA,TERMTRADE,TOT,RT,A,2008,96.05432839,
FRA,TERMTRADE,TOT,RT,A,2009,98.60168841,
FRA,TERMTRADE,TOT,RT,A,2010,97.24123584,
FRA,TERMTRADE,TOT,RT,A,2011,94.91830573,
FRA,TERMTRADE,TOT,RT,A,2012,94.61909649,
FRA,TERMTRADE,TOT,RT,A,2013,95.71471918,
FRA,TERMTRADE,TOT,RT,A,2014,96.90577656,
FRA,TERMTRADE,TOT,RT,A,2015,100,
FRA,TERMTRADE,TOT,RT,A,2016,100.9852515,
FRA,TERMTRADE,TOT,RT,A,2017,99.67626662,
FRA,TERMTRADE,TOT,RT,A,2018,98.55807545,E
FRA,TERMTRADE,TOT,RT,A,2019,99.36468931,E
DEU,TERMTRADE,TOT,RT,A,1999,100.8759586,
DEU,TERMTRADE,TOT,RT,A,2000,96.70092575,
DEU,TERMTRADE,TOT,RT,A,2001,96.72695879,
DEU,TERMTRADE,TOT,RT,A,2002,98.63883815,
DEU,TERMTRADE,TOT,RT,A,2003,100.4826026,
DEU,TERMTRADE,TOT,RT,A,2004,100.6286289,
DEU,TERMTRADE,TOT,RT,A,2005,98.9082263,
DEU,TERMTRADE,TOT,RT,A,2006,97.23888246,
DEU,TERMTRADE,TOT,RT,A,2007,97.71967221,
DEU,TERMTRADE,TOT,RT,A,2008,96.05896336,
DEU,TERMTRADE,TOT,RT,A,2009,100.3583,
DEU,TERMTRADE,TOT,RT,A,2010,98.1232553,
DEU,TERMTRADE,TOT,RT,A,2011,95.59252416,
DEU,TERMTRADE,TOT,RT,A,2012,95.42973929,
DEU,TERMTRADE,TOT,RT,A,2013,96.45905178,
DEU,TERMTRADE,TOT,RT,A,2014,97.70478827,
DEU,TERMTRADE,TOT,RT,A,2015,100,
DEU,TERMTRADE,TOT,RT,A,2016,101.7573645,
DEU,TERMTRADE,TOT,RT,A,2017,100.8815598,
DEU,TERMTRADE,TOT,RT,A,2018,100.0598094,
DEU,TERMTRADE,TOT,RT,A,2019,100.9326797,
GRC,TERMTRADE,TOT,RT,A,1999,94.24229215,
GRC,TERMTRADE,TOT,RT,A,2000,92.5395608,
GRC,TERMTRADE,TOT,RT,A,2001,93.30598526,
GRC,TERMTRADE,TOT,RT,A,2002,94.64903206,
GRC,TERMTRADE,TOT,RT,A,2003,96.29540355,
GRC,TERMTRADE,TOT,RT,A,2004,96.18743613,
GRC,TERMTRADE,TOT,RT,A,2005,95.31210702,
GRC,TERMTRADE,TOT,RT,A,2006,95.26047518,
GRC,TERMTRADE,TOT,RT,A,2007,95.73050877,
GRC,TERMTRADE,TOT,RT,A,2008,94.63498634,
GRC,TERMTRADE,TOT,RT,A,2009,93.99612412,
GRC,TERMTRADE,TOT,RT,A,2010,94.34508971,
GRC,TERMTRADE,TOT,RT,A,2011,93.84164416,E
GRC,TERMTRADE,TOT,RT,A,2012,92.35243723,E
GRC,TERMTRADE,TOT,RT,A,2013,93.87909191,E
GRC,TERMTRADE,TOT,RT,A,2014,95.42467102,E
GRC,TERMTRADE,TOT,RT,A,2015,100,
GRC,TERMTRADE,TOT,RT,A,2016,99.58297562,E
GRC,TERMTRADE,TOT,RT,A,2017,99.18359469,E
GRC,TERMTRADE,TOT,RT,A,2018,97.27692952,E
GRC,TERMTRADE,TOT,RT,A,2019,95.78877911,E
IRL,TERMTRADE,TOT,RT,A,1999,103.488219,
IRL,TERMTRADE,TOT,RT,A,2000,103.3703801,
IRL,TERMTRADE,TOT,RT,A,2001,104.6880643,
IRL,TERMTRADE,TOT,RT,A,2002,106.8975309,
IRL,TERMTRADE,TOT,RT,A,2003,105.7840411,
IRL,TERMTRADE,TOT,RT,A,2004,100.101016,
IRL,TERMTRADE,TOT,RT,A,2005,101.8096594,
IRL,TERMTRADE,TOT,RT,A,2006,100.8433633,
IRL,TERMTRADE,TOT,RT,A,2007,101.323643,
IRL,TERMTRADE,TOT,RT,A,2008,102.3850454,
